timestamp,reaction_time,error_rate,true_state,true_state_name,reaction_time_rolling_mean,error_rate_rolling_mean,time_of_day
2024-01-01 00:00:00,384.9686065610369,0.03583877489836509,0,Focused,384.9686065610369,0.03583877489836509,0.0
2024-01-01 00:00:05,586.3900344301846,0.36699344677543955,2,Distracted,485.6793204956108,0.2014161108369023,0.0
2024-01-01 00:00:10,392.92122132203735,0.2969005676794706,2,Distracted,454.75995410441965,0.2332442631177584,0.0
2024-01-01 00:00:15,767.6711786319744,0.15647144923565526,2,Distracted,532.9877602363083,0.21405105964723262,0.0
2024-01-01 00:00:20,518.2460826454692,0.03057135617291148,0,Focused,530.0394247181405,0.17735511895236838,0.0
2024-01-01 00:00:25,691.2791765273851,0.020112793483926854,0,Focused,556.912716686348,0.15114806470762812,0.0
2024-01-01 00:00:30,394.9082757589378,0.030480239380534836,0,Focused,533.7692251252894,0.1339098039466148,0.0
2024-01-01 00:00:35,1201.7725912507765,0.18108488318200935,1,Fatigued,617.2696458909752,0.1398066888510391,0.0
2024-01-01 00:00:40,536.9956555638356,0.21004158851224625,1,Fatigued,608.3503136324041,0.14761056659117325,0.0
2024-01-01 00:00:45,641.36034005499,0.17708683236925296,1,Fatigued,611.6513162746627,0.15055819316898122,0.0
2024-01-01 00:00:50,502.36123441939026,0.0860433204636733,0,Focused,623.3905790604981,0.15557864772551205,0.0
2024-01-01 00:00:55,761.4897481676894,0.22959322551844424,2,Distracted,640.9005504342485,0.14183862559981253,0.0
2024-01-01 00:01:00,774.9397549594844,0.3815993118228608,2,Distracted,679.1024037979932,0.15030850001415152,0.016666666666666666
2024-01-01 00:01:05,731.4225413108976,0.22014454807580808,1,Fatigued,675.4775400658856,0.15667580989816682,0.016666666666666666
2024-01-01 00:01:10,696.3938256400023,0.1221042132061976,1,Fatigued,693.2923143653389,0.16582909560149545,0.016666666666666666
2024-01-01 00:01:15,570.128967761407,0.21594299270787817,1,Fatigued,681.177293488741,0.18541211552389056,0.016666666666666666
