user_id,timestamp,hold_time,flight_time,errors,session_time,hour_of_day,true_state,true_state_name
user_000,2024-01-01 00:00:00.000000000,148.5703619965193,307.70177956262086,0,0.0,9.0,0,Focused
user_000,2024-01-01 00:00:04.500000000,321.8987633848887,540.3904082736776,1,0.075,9.01,1,Fatigued
user_000,2024-01-01 00:00:09.000000000,138.4080809592452,619.2450754119883,1,0.15,9.02,2,Distracted
user_000,2024-01-01 00:00:13.499999999,163.4131723710451,219.92848123461576,0,0.22499999999999998,9.03,0,Focused
user_000,2024-01-01 00:00:18.000000000,127.14435761436553,343.3697736108488,0,0.3,9.04,0,Focused
user_000,2024-01-01 00:00:22.500000000,208.72531242684138,308.21672774749743,0,0.375,9.05,0,Focused
user_000,2024-01-01 00:00:26.999999999,139.632335648284,329.68675456834785,0,0.44999999999999996,9.06,0,Focused
user_000,2024-01-01 00:00:31.500000000,138.07011020994807,304.18002303621,0,0.525,9.07,0,Focused
user_000,2024-01-01 00:00:36.000000000,155.2737819867574,260.97282192465684,0,0.6,9.08,0,Focused
user_000,2024-01-01 00:00:40.499999999,247.550626852502,256.41552395384025,0,0.6749999999999999,9.09,2,Distracted
user_000,2024-01-01 00:00:45.000000000,119.37289072790288,335.4022991479666,0,0.75,9.1,0,Focused
user_000,2024-01-01 00:00:49.500000000,239.84093055732214,438.63542445474326,1,0.825,9.11,1,Fatigued
user_000,2024-01-01 00:00:53.999999999,152.13369135399063,303.60809787769165,0,0.8999999999999999,9.12,0,Focused
user_000,2024-01-01 00:00:58.500000000,141.99070318608787,398.3706695443989,0,0.9750000000000001,9.13,0,Focused
user_000,2024-01-01 00:01:03.000000000,166.11928805204266,298.551366782576,0,1.05,9.14,0,Focused
user_000,2024-01-01 00:01:07.500000000,126.07223085394865,641.0190902519039,1,1.125,9.15,2,Distracted
user_000,2024-01-01 00:01:12.000000000,265.6985629295571,572.2853571433187,0,1.2,9.16,1,Fatigued
user_000,2024-01-01 00:01:16.500000000,131.63669724777273,303.11612471270183,0,1.2750000000000001,9.17,0,Focused
user_000,2024-01-01 00:01:20.999999999,141.4653048427486,310.69964126700467,0,1.3499999999999999,9.18,0,Focused
user_000,2024-01-01 00:01:25.500000000,183.16630370994832,422.92990785650017,0,1.425,9.19,0,Focused
user_000,2024-01-01 00:01:30.000000000,167.3716090382095,283.42130651742804,0,1.5,9.2,0,Focused
user_000,2024-01-01 00:01:34.500000000,154.58191210903155,440.93046544978563,0,1.575,9.21,0,Focused
user_000,2024-01-01 00:01:39.000000000,158.42776573926884,303.73541803760963,0,1.65,9.22,0,Focused
user_000,2024-01-01 00:01:43.500000000,149.0012896924342,346.32615357359424,0,1.725,9.23,0,Focused
user_000,2024-01-01 00:01:47.999999999,139.5663129894865,346.5665058064291,0,1.7999999999999998,9.24,1,Fatigued
user_000,2024-01-01 00:01:52.500000000,255.1632030637724,463.4750665915004,0,1.875,9.25,1,Fatigued
user_000,2024-01-01 00:01:57.000000000,158.74590608495265,391.38332682459077,0,1.9500000000000002,9.26,0,Focused
user_000,2024-01-01 00:02:01.500000000,144.86380546900514,368.340561880928,0,2.0250000000000004,9.27,1,Fatigued
user_000,2024-01-01 00:02:06.000000000,165.19281948289924,339.7362263180897,1,2.1,9.28,0,Focused
user_000,2024-01-01 00:02:10.500000000,117.30943541199127,296.4354216674225,0,2.175,9.29,0,Focused
user_000,2024-01-01 00:02:15.000000000,150.7514112058358,349.59265313411055,0,2.25,9.3,0,Focused
user_000,2024-01-01 00:02:19.500000000,202.68544555827356,402.47526071130386,0,2.325,9.31,1,Fatigued
user_000,2024-01-01 00:02:24.000000000,106.07380188764985,320.74797240114515,0,2.4,9.32,0,Focused
user_000,2024-01-01 00:02:28.500000000,157.58033332934005,527.7416578708431,0,2.475,9.33,0,Focused
user_000,2024-01-01 00:02:33.000000000,149.81738905769248,342.49872175795815,0,2.5500000000000003,9.34,0,Focused
user_000,2024-01-01 00:02:37.500000000,195.67476173482288,374.782202410464,0,2.625,9.35,0,Focused
user_000,2024-01-01 00:02:41.999999999,302.6238514878174,252.91205748795386,0,2.6999999999999997,9.36,1,Fatigued
user_000,2024-01-01 00:02:46.500000000,127.71255494010846,287.92467800199586,0,2.775,9.37,0,Focused
user_000,2024-01-01 00:02:51.000000000,114.17777378346086,326.90547181766635,0,2.85,9.38,0,Focused
user_000,2024-01-01 00:02:55.500000000,129.5419144246491,439.6352202325788,0,2.9250000000000003,9.39,0,Focused
user_000,2024-01-01 00:03:00.000000000,133.1183631118684,302.3381684217685,0,3.0,9.4,0,Focused
user_000,2024-01-01 00:03:04.499999999,246.2244793038074,268.5097404748365,0,3.0749999999999997,9.41,1,Fatigued
user_000,2024-01-01 00:03:09.000000000,112.88760663812768,334.5830831482841,0,3.15,9.42,0,Focused
user_000,2024-01-01 00:03:13.500000000,202.85097359950075,543.1185968758173,0,3.225,9.43,1,Fatigued
user_000,2024-01-01 00:03:18.000000000,172.82467689039314,342.18632265007204,0,3.3,9.44,0,Focused
user_000,2024-01-01 00:03:22.500000000,145.9850119708369,448.08300551620715,0,3.375,9.45,1,Fatigued
user_000,2024-01-01 00:03:27.000000000,205.22110869945286,321.7152073958257,1,3.45,9.46,1,Fatigued
user_000,2024-01-01 00:03:31.500000000,226.1151180204385,354.50591854928484,0,3.525,9.47,0,Focused
user_000,2024-01-01 00:03:35.999999999,128.11816537868086,377.42632266170875,0,3.5999999999999996,9.48,0,Focused
user_000,2024-01-01 00:03:40.500000000,259.4837957395551,477.3084968902401,0,3.675,9.49,1,Fatigued
user_000,2024-01-01 00:03:45.000000000,148.23690684927755,277.3308573430157,0,3.75,9.5,0,Focused
user_000,2024-01-01 00:03:49.500000000,153.31107040254176,345.22240175216535,0,3.825,9.51,0,Focused
user_000,2024-01-01 00:03:54.000000000,156.09889013038827,431.2402125563451,0,3.9000000000000004,9.52,0,Focused
user_000,2024-01-01 00:03:58.500000000,176.447398892286,271.65338827198815,0,3.975,9.53,0,Focused
user_000,2024-01-01 00:04:03.000000000,125.67646160102778,355.1189984415249,0,4.050000000000001,9.540000000000001,0,Focused
user_000,2024-01-01 00:04:07.500000000,154.6109018539658,674.6684203622689,1,4.125,9.55,2,Distracted
user_000,2024-01-01 00:04:12.000000000,211.54269265517746,455.23175353815606,0,4.2,9.56,2,Distracted
user_000,2024-01-01 00:04:16.499999999,137.70790478502866,243.10493290260217,0,4.2749999999999995,9.57,1,Fatigued
user_000,2024-01-01 00:04:21.000000000,162.504889078718,251.34102979377624,0,4.35,9.58,0,Focused
user_000,2024-01-01 00:04:25.500000000,130.46667783400446,332.52115373376324,0,4.425,9.59,0,Focused
user_000,2024-01-01 00:04:30.000000000,175.50434964210822,266.5964108899584,0,4.5,9.6,2,Distracted
user_000,2024-01-01 00:04:34.500000000,270.5834480752078,597.3602824923623,0,4.575,9.61,1,Fatigued
user_000,2024-01-01 00:04:39.000000000,172.58612592055616,357.3499834373618,0,4.65,9.62,0,Focused
user_000,2024-01-01 00:04:43.500000000,215.56044607084903,3240.836775121483,0,4.725,9.63,2,Distracted
user_000,2024-01-01 00:04:48.000000000,188.42304832252302,367.32121386636635,0,4.8,9.64,0,Focused
user_000,2024-01-01 00:04:52.500000000,133.3962865612535,307.5367941273312,0,4.875,9.65,0,Focused
user_000,2024-01-01 00:04:57.000000000,247.35413443796008,221.96182743949223,0,4.95,9.66,0,Focused
user_000,2024-01-01 00:05:01.500000000,141.6703621911907,400.91465592109864,0,5.025,9.67,0,Focused
user_000,2024-01-01 00:05:06.000000000,134.93977897900646,369.3992387253196,0,5.1000000000000005,9.68,0,Focused
user_000,2024-01-01 00:05:10.500000000,157.11903567959234,283.05419685060195,0,5.175,9.69,0,Focused
user_000,2024-01-01 00:05:15.000000000,103.84099363331978,334.70492409966084,0,5.25,9.7,0,Focused
user_000,2024-01-01 00:05:19.499999999,132.8718581786395,315.1381672480772,1,5.324999999999999,9.709999999999999,0,Focused
user_000,2024-01-01 00:05:23.999999999,214.58677008781927,727.8526989567994,0,5.3999999999999995,9.72,2,Distracted
user_000,2024-01-01 00:05:28.500000000,141.58500473633174,282.9563401406695,0,5.475,9.73,0,Focused
user_000,2024-01-01 00:05:33.000000000,119.12855775288102,569.6040001940306,0,5.55,9.74,1,Fatigued
user_000,2024-01-01 00:05:37.500000000,389.26769940427573,592.915885127974,0,5.625,9.75,1,Fatigued
user_000,2024-01-01 00:05:42.000000000,200.59171407497837,279.897807689002,1,5.7,9.76,0,Focused
user_000,2024-01-01 00:05:46.500000000,170.14537603440098,376.4876587510018,0,5.775,9.77,0,Focused
user_000,2024-01-01 00:05:51.000000000,81.421215450152,262.71792520434684,0,5.8500000000000005,9.78,0,Focused
